"site","meanMaxTemp","maxMaxTemp","meanDays18","yearsMaxTemp18","freqMax18","meanResist","meanRMSE","totObs","flag"
"MADEP_W1774_T1",23.8629124400723,28.6677469212129,109.029411764706,34,1,287.745440670213,2.00166951937709,108,"Flag"
"MADEP_W1775_T1",20.8800610455381,24.8460159911758,44.7352941176471,34,1,357.862980879126,1.10369081164279,106,""
"MADEP_W1777_T1",25.8610758506506,27.5535354979638,104.764705882353,34,1,152.292384427195,1.14722693433974,108,""
"MADEP_W1782_T1",21.3227914311996,22.6325421313886,40.7352941176471,34,1,368.265524594948,1.41885265031686,61,""
"MADEP_W1784_T1",27.7960382078293,29.8188966608892,118.705882352941,34,1,292.706931342207,1.7492982859125,67,"Flag"
"MADEP_W1789_T1",22.0605149045088,23.3756901802474,60.7941176470588,34,1,329.538260206624,1.18958540024991,74,""
"MADEP_W1809_T1",22.9165646179702,24.4007972457374,67.8529411764706,34,1,179.345100530355,1.11975769702129,94,""
"MADEP_W1815_T1",25.477016427929,27.1974406268295,103.352941176471,34,1,199.998688126492,1.28380606486001,94,""
"MADEP_W1817_T1",18.636134564506,25.0104578436556,7,23,0.676470588235294,532.778129885986,1.0159842719195,80,""
"MADEP_W1818_T1",22.4770451131621,23.7003164219389,64.5588235294118,34,1,246.545250811449,1.06813604433334,94,""
"MADEP_W1820_T1",23.0748573137369,24.3438663862972,78.9117647058823,34,1,214.901453112848,1.22242376405256,94,""
"MADEP_W1823_T1",21.0291224266984,23.0360962829734,42.8529411764706,34,1,325.608313767678,1.09317865828544,94,""
"MADEP_W1824_T1",26.3511979316101,28.055694774223,108.323529411765,34,1,237.54489836312,1.20374644934822,84,""
"MADEP_W1853_T1",22.7690971548383,24.0929209479185,71.3529411764706,34,1,236.741844287903,1.31705979582227,113,""
"MADEP_W1854_T1",23.812416910601,25.1254478074863,83.1176470588235,34,1,185.651049575823,1.23378614367191,105,""
"MADEP_W1863_T1",21.1356702822475,22.9755098159093,43.5,34,1,305.068067632761,1.07375423318084,105,""
"MADEP_W1864_T1",21.3739603952608,23.1228048439907,49.4117647058824,34,1,323.120274937017,1.22041459488022,113,""
"MADEP_W1877_T1",25.6390983472455,27.4418308294571,94.7647058823529,34,1,187.226347176795,1.22495670016696,97,""
"MADEP_W1897_T1",28.0081866768423,29.4996268578838,143.941176470588,34,1,507.411130963804,1.12788753614938,106,""
"MADEP_W1905_T1",20.3909175343603,26.1238410525624,50.5882352941176,34,1,350.823971180485,0.787461876013538,106,""
"MADEP_W1909_T1",19.5911530244093,26.6717186769086,28,34,1,414.178263353865,0.828866719324138,107,""
"MADEP_W1911_T1",19.6639838681035,27.3091749624102,36.5294117647059,34,1,382.973955046895,0.778687891088111,107,""
"MADEP_W1912_T1",21.0953759657875,27.6027765972975,76.3823529411765,34,1,273.480205419773,0.81198912822826,107,""
"MADEP_W1933_T1",27.1048835734594,28.7857003961103,120.705882352941,34,1,230.381145082878,0.538574666851875,44,""
"MADEP_W1935_T1",26.7041681751921,28.4347785183172,115.970588235294,34,1,232.520031475229,0.850755829282736,93,""
"MADEP_W1937_T1",19.4627921649673,24.1729623346448,13.3030303030303,33,0.970588235294118,550.654160723629,0.747954985394837,93,""
"MADEP_W1941_T1",22.1071937121791,24.7526306431903,69.9411764705882,34,1,306.72243117282,0.823638869713569,93,""
"MADEP_W1943_T1",26.4207202814963,28.1440618395185,108.294117647059,34,1,176.287923995836,0.918915831655724,93,""
"MADEP_W1953_T1",22.9163826273668,25.4294841091026,85.9117647058823,34,1,256.902919407939,0.819751918778131,93,""
"MADEP_W1958_T1",24.2623657556046,25.7856569212103,90.9411764705882,34,1,198.222555175601,0.765572575811721,100,""
"MADEP_W1959_T1",25.0799453267677,26.5638390223062,96.6176470588235,34,1,155.047808934728,1.27130801696102,100,""
"MADEP_W1965_T1",26.0649154881432,27.354677816464,118.235294117647,34,1,238.127366690138,0.899107955802128,59,""
