"site","totalObs","meanMaxTemp","maxMaxTemp","meanDays18","yearsMaxTemp18","freqMax18","meanResist","meanRMSE","flag"
"MADEP_W1590_T1",88,25.9095244427786,27.1880825564422,123.352941176471,34,1,279.887151995735,1.22003954928201,"Flag"
"MADEP_W1593_M1",16,20.9409054522566,22.0946543191613,53.0882352941176,34,1,247.572980834092,1.22719156540406,"Flag"
"MADEP_W1718_T1",106,28.8057943027796,30.4798192957221,190.205882352941,34,1,764.538924903587,0.432813193931804,""
"MADEP_W1719_T1",106,28.7675231150249,30.5305984843583,190.647058823529,34,1,764.562091627634,0.463420993211348,""
"MADEP_W1720_T1",106,26.6781301952012,28.1453365213539,133.264705882353,34,1,329.273531879642,0.841178227141912,"Flag"
"MADEP_W1721_T1",91,24.2033169146971,25.3848644892211,92.6470588235294,34,1,181.016875018946,0.578910063425106,""
"MADEP_W1722_T1",91,22.4728899326604,23.3262688137305,117.323529411765,34,1,290.103839693462,0.331644915439912,""
"MADEP_W1724_T1",85,23.0891403624318,24.3185641080145,100.411764705882,34,1,287.321752789828,0.51286200474741,""
"MADEP_W1725_T1",85,22.9494502014349,24.175931836122,94.6764705882353,34,1,258.132953925592,0.503181275531216,""
"MADEP_W1728_T1",111,20.3882373668188,21.8173839781151,39.5,34,1,247.70853035055,0.654242594628199,""
"MADEP_W1735_T1",99,20.5995547095958,21.7014941879234,45.2647058823529,34,1,283.441335204386,0.777893206707914,""
"MADEP_W1736_T1",64,20.5825965769918,21.7014293385701,45.1176470588235,34,1,283.505278747059,0.53909608070674,""
"MADEP_W1737_T1",99,NA,NA,NA,NA,NA,0,NA,NA
"MADEP_W1753_T1",110,21.6490712114762,22.9280208044501,65.0588235294118,34,1,272.444788760953,0.462524489297734,""
"MADEP_W1761_T1",110,22.4124402119395,23.7759624125626,77.6470588235294,34,1,220.284330135672,0.563118788523873,""
"MADEP_W1769_T1",110,22.5568523625577,23.843990331755,65.2647058823529,34,1,261.528996250681,0.557512788133778,""
